path,type,mime,size_bytes,size_human,category,suggested_usage,public,store_externally,optimization,hash,hash_mode
assets/images/about/about-renaatus.jpg,jpg,image/jpeg,375686,366.9 KB,Brand assets,"About/story grids, brand films stills",Yes,No,Required,c80fc6a6ac54d370700441e82d06c682c834e9248e0601f51b0e5084e4d3218d,full
assets/images/about/about-still.jpg,jpg,image/jpeg,13900,13.6 KB,Brand assets,"About/story grids, brand films stills",Yes,No,Optional,4770d8faed363d9d60c5c61f8812efe48cef874b258255d1a5f540656a0d8999,full
assets/images/about/grid-1.png,png,image/png,540526,527.9 KB,Brand assets,"About/story grids, brand films stills",Yes,No,Required,8511a8371c32e570a8bff73b052558d889b90d3517f65ea07c60280d74e26b0b,full
assets/images/about/grid-2.png,png,image/png,486746,475.3 KB,Brand assets,"About/story grids, brand films stills",Yes,No,Required,b95d4577dcc66ebc443fbdaf5a7b362fbf67b4b33b6d384cfbbc15299d59fcfe,full
assets/images/about/grid-3.png,png,image/png,535246,522.7 KB,Brand assets,"About/story grids, brand films stills",Yes,No,Required,3c769806b6ac209d2e7e9418a7675d3b6bcdc8c6960353178c1b456a4442829f,full
assets/images/about/grid-4.png,png,image/png,420903,411.0 KB,Brand assets,"About/story grids, brand films stills",Yes,No,Required,ecc4bfa1579a3ce229f76e0b72ae46e16850ce200414d12c1a40664aa5ba4589,full
assets/images/banners/careers.jpg,jpg,image/jpeg,598687,584.7 KB,Hero images,Page banners / fallbacks when video cannot play,Yes,No,Required,4c1c6eb1ec39030a0916259f8f419257ddf4e1fae2b07bd4c250553fa9d33f46,full
assets/images/banners/coming-soon-mobile.jpg,jpg,image/jpeg,443575,433.2 KB,Hero images,Page banners / fallbacks when video cannot play,Yes,No,Required,21a737fb642419c84552c0a9801f53c2ec2ce0ec14dc8525ce25e8b6aa5e02c2,full
assets/images/banners/coming-soon.jpg,jpg,image/jpeg,389131,380.0 KB,Hero images,Page banners / fallbacks when video cannot play,Yes,No,Required,50e22b3903604054cb753bc9cf5d603e8eeb8245066c78dd48afeb516130a6e1,full
assets/images/banners/contact.jpg,jpg,image/jpeg,404300,394.8 KB,Hero images,Page banners / fallbacks when video cannot play,Yes,No,Required,b12535b49a2d19bfcd9cf21ad049d4b214d581a5b9dbf0d7dd3f35fef2680234,full
assets/images/banners/infrastructure.jpg,jpg,image/jpeg,1622579,1.55 MB,Hero images,Page banners / fallbacks when video cannot play,Yes,No,Required,26bb2739d30811f12cc7ff10999325891a249032daf6d2a29a096b98d074b46d,full
assets/images/banners/realty.jpg,jpg,image/jpeg,658252,642.8 KB,Hero images,Page banners / fallbacks when video cannot play,Yes,No,Required,1c690afcc9047c39125bad7a92375bdea65526b3558b52880086e29a145bf53a,full
assets/images/infrastructure/galleries/ga-canal/01.jpg,jpg,image/jpeg,102125,99.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,96d69e45686dcf876a16fd458d04e3edb1aab863bad5494b888df57f80f0ae86,full
assets/images/infrastructure/galleries/ga-canal/02.jpg,jpg,image/jpeg,106521,104.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,f6c4013063e4595a05b2450e51da3ee4e1d2f7f872f9d59e5e8413dabdc4f812,full
assets/images/infrastructure/galleries/ga-canal/03.jpg,jpg,image/jpeg,100455,98.1 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,16bd64488fa9f0316b0a380faad6229579d464d84c00ee4e02e5889240c7a074,full
assets/images/infrastructure/galleries/ga-canal/04.jpg,jpg,image/jpeg,121737,118.9 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,392c675af17c10c789c3dcc963ef185a208b3d7453b11e8bea70a556a9672d1d,full
assets/images/infrastructure/galleries/ga-canal/05.jpg,jpg,image/jpeg,82894,81.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,241c1cdbf74946332dc3062a8142d3c755072782ea0fc4d3ad77550140f523c8,full
assets/images/infrastructure/galleries/hospital-residential/01.jpg,jpg,image/jpeg,91270,89.1 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,48c03f4fbb390186137d557b85c6a647d61393be1e4c77e441c47c1719cf535e,full
assets/images/infrastructure/galleries/hospital-residential/02.jpg,jpg,image/jpeg,76298,74.5 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,cf7fa4442e7904f8a2832eaa63a906e749e8de70f4517a6500b8ffa6d0ff7f31,full
assets/images/infrastructure/galleries/hospital-residential/03.jpg,jpg,image/jpeg,87771,85.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,450bcf27cce199930e9bb72b352ee266e0c5aca41ab9514618a9d6486f82ac25,full
assets/images/infrastructure/galleries/hospital-residential/04.jpg,jpg,image/jpeg,84685,82.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,88d9467e156994ad79a2ba0d778b5fb24e848d4550498194d4c09b908911b3ed,full
assets/images/infrastructure/galleries/hospital-residential/05.jpg,jpg,image/jpeg,82049,80.1 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,c27770eee385837b4b570d4b820368722c01087efc40d4b8d82dd68dd2f287f6,full
assets/images/infrastructure/galleries/hospital-residential/06.jpg,jpg,image/jpeg,72419,70.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,1069a1e9849b81854c91f601c4ca6860af74cbee7e56a0872d8c240dc0f66f51,full
assets/images/infrastructure/galleries/hospital-residential/07.jpg,jpg,image/jpeg,64131,62.6 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,975b8e1ccb131064ba34c6f88e2f0b748f1fd1229ed9bd14c371c0b03121619b,full
assets/images/infrastructure/galleries/jipmer-karaikal/01.jpg,jpg,image/jpeg,68833,67.2 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,9e6b450afe997dc72da992baddabdb04a85c3b0b10bc4730cf04d04a31d0ecf8,full
assets/images/infrastructure/galleries/jipmer-karaikal/02.jpg,jpg,image/jpeg,72851,71.1 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,9e013ddcf7548362a85f4526d9df273ed94ba33a586954c9051236ff5aa604ba,full
assets/images/infrastructure/galleries/jipmer-karaikal/03.jpg,jpg,image/jpeg,88467,86.4 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,aa47aa5a3787e8963802c84fc0fbca366c7eb589b5b2ab1322bba09fe647aecb,full
assets/images/infrastructure/galleries/jipmer-karaikal/04.jpg,jpg,image/jpeg,60699,59.3 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,9e1f2eb3c11e728027d769cb9698625cf51d9149a3c933c2a104a7c676b26bdc,full
assets/images/infrastructure/galleries/jipmer-karaikal/05.jpg,jpg,image/jpeg,72113,70.4 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,d42856245802ee965635bbaf92fd42b154d870a85995dbf296e6cc4b91f46771,full
assets/images/infrastructure/galleries/jipmer-karaikal/06.jpg,jpg,image/jpeg,76412,74.6 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,2febb0ef6bd0417d64eaf6947ad1e5465eb03087a3a4bdc3284e112d77f97541,full
assets/images/infrastructure/galleries/nit-karaikal/01.jpg,jpg,image/jpeg,70699,69.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,52ceae4601167cb134c3d95240f83af9e97b75175015f6447e53b196116ca9a0,full
assets/images/infrastructure/galleries/rajahmundry-airport/01.jpg,jpg,image/jpeg,92189,90.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,995ea4831534d02f76827d9ae3f544757ee9f2a01901fe8e0cc01f4e08b5f35d,full
assets/images/infrastructure/galleries/rajahmundry-airport/02.jpg,jpg,image/jpeg,73327,71.6 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,15e02af18e0b036d9e94ee8d92b8fba869ab97ac26944bd1ec8e1af659212fde,full
assets/images/infrastructure/galleries/rajahmundry-airport/03.jpg,jpg,image/jpeg,35841,35.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,bc1095cd38358173b117e75a024e5dda054894a67a8cd635034e2f5c38159a84,full
assets/images/infrastructure/galleries/rajahmundry-airport/04.jpg,jpg,image/jpeg,179887,175.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,c2b18eb621d15cb5aa66c2983bca8ecac0cc2ef182e54da06183e671019d3eb5,full
assets/images/infrastructure/galleries/sh95-mohanur/01.jpg,jpg,image/jpeg,81608,79.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,4ead9c43fd0974fdc894534efa3eee5be820e4991f4b55eb22ce397207c6a5f1,full
assets/images/infrastructure/galleries/sh95-mohanur/02.jpg,jpg,image/jpeg,128427,125.4 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,071ca403c3f42ff44a526082e9b0358a9bb70a46a663789b41dcb8ddc86eb862,full
assets/images/infrastructure/galleries/sh95-mohanur/03.jpg,jpg,image/jpeg,103670,101.2 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Optional,636aa87de4bf128284aa218ecfb840d5ad236301e4122103c621c201eb707d9d,full
assets/images/infrastructure/galleries/sh95-mohanur/04.jpg,jpg,image/jpeg,229586,224.2 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,Yes,Required,505ca1e8970c2101a22a563903acbd286b664a19965f0e38c8d718d95ae21ac4,full
assets/images/infrastructure/india/ga-canal.jpg,jpg,image/jpeg,242604,236.9 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Required,7e1c7893e5721d1f8668913de64cc7208c33fdb20ab4f025b4bc6f99f49d9dcd,full
assets/images/infrastructure/india/jipmer-karaikal.jpg,jpg,image/jpeg,88481,86.4 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Optional,401593e921e7c58d99ca75420507c6f9251cdb12f15b9cc049bc448ec25b61c0,full
assets/images/infrastructure/india/mettur-east-bank-canal.jpg,jpg,image/jpeg,452544,441.9 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Required,5e11a3f193fa64938759109daae071ead6741df6c6941d24714bd14ea2e009ed,full
assets/images/infrastructure/india/nit-karaikal.jpg,jpg,image/jpeg,70699,69.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Optional,52ceae4601167cb134c3d95240f83af9e97b75175015f6447e53b196116ca9a0,full
assets/images/infrastructure/india/perungalathur-grade-separator.jpg,jpg,image/jpeg,300744,293.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Required,1b7c9ce93006034e50e62b0efb0b2fd227e8fd79915f238637842ba031b487b6,full
assets/images/infrastructure/india/pollachi-podanur-rob.jpg,jpg,image/jpeg,146087,142.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Optional,814dc503cacdd3f945744c7e53d11ceda2546e7233980efdfb1e1465bab4e893,full
assets/images/infrastructure/india/rajahmundry-airport.jpg,jpg,image/jpeg,343060,335.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Required,393d468fa55491aa44fad6b58a9a7a861c8189d8d2c6a923700af4aaf913f850,full
assets/images/infrastructure/india/rajavaikal-kumarapalayam.jpg,jpg,image/jpeg,67235,65.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Optional,2248b2f32178cc0516052da5d42d6f7ecf57c959b14c9d649e184b35914472dd,full
assets/images/infrastructure/india/sh95-mohanur.jpg,jpg,image/jpeg,59358,58.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Optional,578263bf264f998286a09a71358a1cbc9ded58af3ef6d41720ecb686a11f8602,full
assets/images/infrastructure/india/tiruppur-medical-college.jpg,jpg,image/jpeg,172281,168.2 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Optional,1064e140880f61b8474bff5d8cb2bbc84bf7767f9ff223d270fabfd4d484b043,full
assets/images/infrastructure/maldives/gan-international-airport.jpg,jpg,image/jpeg,109549,107.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Optional,786fa838694c6c67851af1d71d16c0e66ee611861f6fc240f0b2bb2f11f0cb1f,full
assets/images/infrastructure/maldives/igmh.jpg,jpg,image/jpeg,211986,207.0 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Required,0fdd77a2bad80e14895dda21a0de8c0bff6a92755214d924a0791f1c0e150d13,full
assets/images/infrastructure/maldives/imff.jpg,jpg,image/jpeg,178478,174.3 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Optional,4d54bb14a0a0e268600fa2937972f5288d0ded987ab3ff7b32b58c2efd815d3f,full
assets/images/infrastructure/maldives/social-housing.jpg,jpg,image/jpeg,248711,242.9 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Required,3ae3a6161bc495fc11b676171e7d7e32794d0278c43eadb6fc680f980378c69b,full
assets/images/infrastructure/mauritius/supreme-court.jpg,jpg,image/jpeg,75426,73.7 KB,Project images,Infrastructure/EPC project cards and galleries,Yes,No,Optional,404bc45d67c659a23bd3fa1a994e4323d0047d827e4db9323b73a00196d3ac2c,full
assets/images/news/cmrl-tower.png,png,image/png,786595,768.2 KB,Blog images,News / insights cards,Yes,No,Required,92bd6a90b6a45ac2246a4c8606e8f58834081cdb7a9cd5f020ce97331257dbbe,full
assets/images/news/news-cover.jpg,jpg,image/jpeg,106907,104.4 KB,Blog images,News / insights cards,Yes,No,Optional,da02dfc472cbab164e6eb7d55deb39c064cac700e3a62e015c2f1042bde2e718,full
assets/images/news/sap-live.jpg,jpg,image/jpeg,519150,507.0 KB,Blog images,News / insights cards,Yes,No,Required,ad58d6d88ff50c071505a88a28d90e21cecc44a5f05a0850b20f8c51e1101f58,full
assets/images/people/kirubakaran.png,png,image/png,214096,209.1 KB,Team images,About / leadership,Yes,No,Required,1bf0e7c791ba72ff4a6faf2f08397dcef68f10e48c42a9b6c52482b68c308f31,full
assets/images/people/manoj-poosappan.png,png,image/png,168079,164.1 KB,Team images,About / leadership,Yes,No,Required,d56af36bc4227b8a038e4b0526703c0b8cc54b9e133ff36a3bb4dc76a00facfc,full
assets/images/people/padmini-sundaram.png,png,image/png,242844,237.2 KB,Team images,About / leadership,Yes,No,Required,62921fd6b2aa00b1145462069783b4ae04963e45cd9807540426455eb00896df,full
assets/images/people/saravanan.png,png,image/png,218153,213.0 KB,Team images,About / leadership,Yes,No,Required,f4e5a10152f9c5f2d5295f11d80fec3f47a40bf427b567f9d680f10c26e56f9c,full
assets/images/people/selvasundaram-portrait.png,png,image/png,156262,152.6 KB,Team images,About / leadership,Yes,No,Required,d03bdc9264bc1a1260d9cd970c3540e113a1e4fe2db2d379ec066031b4d6b9e2,full
assets/images/people/selvasundaram.png,png,image/png,197662,193.0 KB,Team images,About / leadership,Yes,No,Required,614f219200292d0bcbd686a0274b041de74b731eab1b1268463f905430bc3905,full
assets/images/realty/india/vilankurichi-coimbatore-2.jpg,jpg,image/jpeg,67509,65.9 KB,Architecture/building images,Realty project cards and project detail,Yes,No,Optional,cf137c0ef41cb42f1df760423c92e364b2904e044228b7603335b13b08ca5632,full
assets/images/realty/india/vilankurichi-coimbatore.jpg,jpg,image/jpeg,74869,73.1 KB,Architecture/building images,Realty project cards and project detail,Yes,No,Optional,30872dd7c8079c9ffc5615894896664564fce62901dfcc49768d8a8667eee041,full
assets/images/realty/maldives/irumathi-exterior.png,png,image/png,4939004,4.71 MB,Architecture/building images,Realty project cards and project detail,Yes,Yes,Required,9fcdb2b8fc01e2771de4d8d86aa0a2698bde8b0068871a8c4faad3853a26b550,full
assets/images/realty/maldives/irumathi.jpg,jpg,image/jpeg,170644,166.6 KB,Architecture/building images,Realty project cards and project detail,Yes,No,Optional,6f86574e8b1924ed9e7056b311b08913031687d77204b72c7eb6750398cf0643,full
assets/images/realty/maldives/ithaa-muiy.jpg,jpg,image/jpeg,237572,232.0 KB,Architecture/building images,Realty project cards and project detail,Yes,No,Required,4fd7333022b632f4314c6ea8b3fc55b70aa1ef9c6d3895db0b1888adea3c74ac,full
assets/images/realty/maldives/javaahiru.jpg,jpg,image/jpeg,121420,118.6 KB,Architecture/building images,Realty project cards and project detail,Yes,No,Optional,49ebc07b290f2a46e6a58a7b2961ed40b187dfa29bd56469aa9e8f6c02697b15,full
assets/images/realty/maldives/skyside.jpg,jpg,image/jpeg,238052,232.5 KB,Architecture/building images,Realty project cards and project detail,Yes,No,Required,98f2e2e8fbad08bd8c0ab1809485ebb268ca7219b63eb6dd0eab5cb1031ee598,full
assets/images/verticals/aac-blocks.jpg,jpg,image/jpeg,1866822,1.78 MB,Service images,"Home verticals (Infrastructure, Realty, AAC)",Yes,No,Required,89c7dde495bb9e20d6dabf8c77d08c70703e8fb742b957cdac9c3d7a3cbbe2fb,full
assets/images/verticals/infrastructure.jpg,jpg,image/jpeg,1594548,1.52 MB,Service images,"Home verticals (Infrastructure, Realty, AAC)",Yes,No,Required,119f6110f511d7eb03fd290a3c094fa95dc36f28cb0ae897592b5fc09530710a,full
assets/images/verticals/realty.jpg,jpg,image/jpeg,2014132,1.92 MB,Service images,"Home verticals (Infrastructure, Realty, AAC)",Yes,No,Required,60e6a525065d139381bba5da38bf5bf2b94925e3b1150e601efc12d4bf787dde,full
assets/logos/renaatus-logo-li.png,png,image/png,3836,3.7 KB,Logos,"Header, footer, favicon, Open Graph",Yes,No,Optional,0c8da9d39f103986e68c760e1a33fb31695da857c6aac26f31c2d44bd2546fbd,full
assets/logos/renaatus-logo-light.png,png,image/png,12679,12.4 KB,Logos,"Header, footer, favicon, Open Graph",Yes,No,Optional,26d15dd211a6f6a71fdf18679ad2ef5fae0a2ccd1c23736e75a5dd481eed99a8,full
assets/logos/renaatus-mark.png,png,image/png,28236,27.6 KB,Logos,"Header, footer, favicon, Open Graph — Primary app icon / favicon",Yes,No,Optional,dd2415e920bc4c34d3e70d9d2528792bffb65816c9dfff34480dce7fad63dc78,full
assets/videos/about-loop.mp4,mp4,video/mp4,304613,297.5 KB,Videos,Homepage cinematic hero / loops,Yes,Yes,Required,a74da1793ac51654bc5a5c10997def411f305bae669d7c6641a1a71d571c4e5d,full
assets/videos/hero-desktop.mp4,mp4,video/mp4,12253000,11.69 MB,Videos,Homepage cinematic hero / loops — Homepage desktop hero video,No,Yes,Required,60092f5fc92487594c165451a118051a7fbae2a47d957e1cd441179348271143,full
assets/videos/hero-mobile.mp4,mp4,video/mp4,18215353,17.37 MB,Videos,Homepage cinematic hero / loops — Homepage mobile hero video,No,Yes,Required,558e184bbd7b68f8619bb51fef54020b23dbcae9f00132ab51604b1c260d2245,full
assets/videos/loading.mp4,mp4,video/mp4,174873,170.8 KB,Videos,Homepage cinematic hero / loops,Yes,Yes,Required,1eb3948a1cfb7f9b3d010e10dcc77fbb95b1c5831e54e332346ca411b86268e8,full
